1,Mobiliser le langage dans toutes ses dimensions,,
,1,L'oral - Oser entrer en communication,
,,1,J'ose prendre la parole dans un groupe
,,,français
,,2,J'articule et je prononce correctement
,,,français
,,3,Je parle suffisamment fort pour être entendu·e de mes interlocuteur·ice·s
,,,français
,,4,Je prends la parole lorsque je suis sollicité.e
,,,français
,,5,"Je respecte les tours de parole (CO, CJ, CE)"
,,,culture civique
,,6,Je prends la parole spontanément en petit groupe.
,,,
,,7,Je m'adresse spontanément à un·e adulte/ autre enfant
,,,
,,8,Je comprends une histoire lue
,,,français
,,9,Je m'exprime à la 1ère personne du singulier.
,,,français
,,10,Je sais construire des phrases (S-V-C).
,,,français
,,11,Je sais reformuler pour mieux me faire comprendre.
,,,français
,,12,J'articule correctement les sons simples/ complexes.
,,,
,2,Échanger et réfléchir avec les autres,
,,1,Je raconte un événement vécu.
,,,
,,2,Je raconte une histoire avec un début et une fin.
,,,
,,3,"Je sais discuter un point de vue (CE, CJ)"
,,,
,,4,Je sais formuler correctement une demande (poser une question)
,,,
,,5,Je peux décrire ce que je suis en train de faire.
,,,
,,6,"Je sais justifier, expliquer pourquoi. (CJ)"
,,,
,,7,"Je sais exprimer mes émotions. (j'ai peur, je suis triste, en colère...)"
,,,
,3,Commencer à réfléchir sur la langue et acquérir une conscience phonologique,
,,1,Je sais rester dans le sujet en cours lorsque je prends la parole
,,,
,,2,"Je sais tenir compte de ce qui vient d'être dit lorsque je prends la parole expliquer, questionner, proposer des solutions, discuter un point de vue"
,,,
,,3,"Je peux proposer une solution (ex : conflit, discussion en CE, CJ)"
,,,
,4,Écouter de l'écrit et comprendre,
,,1,Je peux écouter avec attention une histoire
,,,
,,2,Je comprends des textes écrit sans autre aide que le langage entendu
,,,
,5,Découvrir la fonction de l'écrit,
,,1,"Je manifeste de la curiosité par rapport à l'écrit : s'intéresser aux affichages, voir des mots écrits (sur des jeux, des livres, regarder un livre tout seul)"
,,,
,,2,Je peux redire les mots d'une phrase écrite après sa lecture par un adulte/enfant plus grand
,,,
,6,Commencer à produire des écrits et en découvrir le fonctionnement,
,,1,Je tiens correctement un crayon/stylo.
,,,
,,2,Je reconnais les lettres de mon prénom
,,,
,,3,Je peux participer verbalement à la production d'un écrit (ex : dicter à l'adulte ce qu'on a fait aujourd'hui)
,,,
,,4,J'écris mon prénom (avec puis sans modèle)
,,,
,,5,Je reconnais la plupart des lettres de l'alphabet
,,,
,,6,Je sais qu'on n'écrit pas comme on parle
,,,
,,7,J'écris seul·e un mot en utilisant des lettres ou groupes de lettres empruntés aux mots connus (avec ou sans modèle)
,,,
,,8,Je reconnais mon prénom
,,,
,,9,Je reconnais d'autres prénom de l'école
,,,
,,10,Je nomme les lettres de mon prénom
,,,
,,11,Je nomme la plupart des lettres
,,,
,,12,Je récite l'alphabet.
,,,
,,13,Je forme mon prénom avec ou sans modèle
,,,
,,14,"Je déchiffre des syllabes (ex :PA, SE, TU...)"
,,,
,,15,Je sais copier à l'aide d'un clavier
,,,
,,16,Je forme des mots avec ou sans modèle
,,,
2, Construire les premiers outils pour structurer sa pensée,,
,1,Les nombres,
,,1,Je connais la comptine numérique jusqu’à…
,,,
,,2,Je distribue le bon nombre d’objet
,,,
,,3,Je réalise une collection d’au moins 3 objets/6 objets/10 objets
,,,
,,4,"Je reconnais les différentes représentations d’un nombre (constellations du dé, doigts, chiffres) jusqu’à 3/jusqu’à 6/jusqu’à 10"
,,,
,,5,J’écris quelques chiffres/j’écris tous les chiffresj’écris quelques chiffres/j’écris tous les chiffres
,,,
,,6,Je connais et utilise les termes plus/moins/autant (jeu « bataille »...)
,,,
,,7,Je reconnais globalement (sans compter) les petites quantités
,,,
,,8,"Je fais des petits calculs de tête (+1, -1 etc.)"
,,,
,2,"Formes, grandeurs, suites organisées",
,,1,"je reconnais et nomme des formes simples (carré, triangle, cercle/disque, rectangle)"
,,,
,,2,je classe ou range suivant la taille
,,,
,,3,"je reconnais et nomme quelques solides (boule, pyramide, cube, pavé, cylindre, cône)"
,,,
,,4,je réalise des puzzles d’au moins … pièces
,,,
,,5,je compare des masses
,,,
,,6,je compare des contenances
,,,
,,7,"je sais reproduire à partir d’un modèle (constructions, disposition d’objets…)"
,,,
,,8,"je sais poursuivre un algorithme (binaire, ternaire...)"
,,,
3,Explorer le monde,,
,1,Le temps,
,,1,"Je distingue les différents moments de la journée (matin, après-midi, soir…)"
,,,
,,2,Je connais quelques prénoms des autres membres de l’école
,,,
,,3,"J’utilise les termes hier, aujourd’hui, demain"
,,,
,,4,"Je commence à appréhender les durées (secondes, minutes, heures…)"
,,,
,,5,Je connais quelques jours de la semaine
,,,
,,6,"J’utilise des marqueurs temporels adaptés (puis, pendant, ensuite…)"
,,,
,2,L'espace,
,,1,Je connais les différents espaces de l’école et leur fonction
,,,
,,2,J’oriente et utilise correctement les supports écrits
,,,
,,3,"J’utilise le vocabulaire spatial (sur, sous, dans...)"
,,,
,,4,Je réalise un trajet connu (environnement extérieur familier)
,,,
,,5,Je sais compléter un tableau à double entrée
,,,
,,6,Je distingue la droite de la gauche
,,,
,,7,"Je me repère dans l’espace à partir d’un plan, une maquette, des indices spatiaux… (chasse au trésor, parcours...)"
,,,
,3,Le vivant,
,,1,Je dessine un bonhomme têtard
,,,
,,2,Je dessine un bonhomme intermédiaire
,,,
,,3,Je dessine un bonhomme complet
,,,
,,4,Je connais le nom des différentes parties du corps
,,,
,,5,Je connais le nom des articulations
,,,
,,6,Je connais le nom de quelques animaux
,,,
,,7,Je connais le nom de nombreux animaux
,,,
,,8,Je connais le nom de quelques végétaux
,,,
,,9,Je connais le nom de quelques fruits/légumes
,,,
,,10,Je connais le nom de nombreux fruits/légumes
,,,
,,11,"J’ai quelques connaissances sur les animaux (milieu de vie, besoins, régime alimentaire...)"
,,,
,,12,J’ai quelques connaissances sur les besoins des végétaux
,,,
,,13,Je connais le vocabulaire des différentes parties des plantes
,,,
,,14,Je réalise des plantations
,,,
,,15,Je connais le vocabulaire des différentes parties du corps des animaux
,,,
,,16,Je connais les étapes du développement d’un animal/d’un végétal
,,,
,,17,Je connais quelques couleurs
,,,
,,18, Je connais les nuances de couleurs
,,,
,,19,Je connais et mets en pratique quelques règles élémentaires d’hygiène
,,,
,4,Objet/matière,
,,1,"Je sais visser/dévisser, transvaser, remplir/vider, pincer…"
,,,
