1,Les langages pour penser et communiquer,,
,1,"Comprendre, s'exprimer en utilisant la langue française à l'oral et à l'écrit",
,,1,"interpréter des discours oraux complexes (distinguer implicite, explicit, comprendre divers types de récits)"
,,,français
,,2,s’exprimer de façon maitrisée en s’adressant à un auditoire
,,,français
,,3,"participer de façon constructive à des échanges oraux (participation/animation de débats, respect de la parole de l’autre) "
,,,français
,,4,lire un texte à voix haute de manière claire et intelligible ; dire de mémoire un texte littéraire 
,,,français
,,5,"exploiter les ressources expressives et créatives de la parole (jeu de scène, interprétation de textes)"
,,,français
,,6,lire en autonomie et comprendre des textes non littéraires (documents divers) 
,,,"français, histoire"
,,7,lire une œuvre complète 
,,,"français, histoire"
,,8,Situer un texte littéraire dans un contexte historique et culturel 
,,,"français, histoire"
,,9,communiquer par écrit un sentiments/point de vue/jugement en tenant compte du destinataire
,,,français
,,10,"respecter les normes de la langue écrite sur divers supports (papier, numérique) "
,,,français
,,11,"utiliser l’écrit pour réfléchir (prise de note, écrits réflexifs, résumés…) "
,,,"français, SVT, histoire, géographie, physique-chimie"
,,12,"acquérir des éléments de culture littéraire et artistique 
(questionnements sociétaux, lectures variées, références classiques) "
,,,"français, histoire"
,,13,"connaître les différences entre l’oral et l’écrit (normes de l’écriture, syntaxe, niveaux de langues…) "
,,,français
,,14,"analyser le fonctionnement d’une phrase complexe (COD, nature des mots, types de phrases…)"
,,,français
,,15,"orthographier les mots d’usage courant, conjuguer correctement les verbes, pratiquer les bons accords (pluriels, féminins) "
,,,français
,,16,"écrire pour construire sa pensée, argumenter et communiquer "
,,,"histoire, géographie"
,,17,s’initier aux techniques d’argumentation 
,,,"mathématiques, français, histoire, géographie"
,2,"Comprendre, s'exprimer en utilisant une langue étrangère (et une langue régionale)",
,,1,écouter et comprendre des messages oraux de complexité variable
,,,langues
,,2,utiliser des indices/le contexte pour comprendre un texte/un mot 
,,,langues
,,3,mémoriser et reproduire à l’oral des énoncés à l’oral
,,,langues
,,4,produire un texte oral sur des sujets variés 
,,,langues
,,5,"raconter, décrire, argumenter (structurer son écrit)  "
,,,langues
,,6,réagir spontanément à des sollicitations verbales 
,,,langues
,3,"Comprendre, s'exprimer en utilisant les langues mathématiques, scientifiques et informatiques",
,,1,"traduire en langage mathématique une situation réelle (à l’aide d’équations, de configurations géométriques, de statistiques…) "
,,,mathématiques
,,2,"expliquer à l’oral ou à l’écrit (sa démarche, son raisonnement, un calcul, un protocole…) et comprendre les explications d’autres "
,,,mathématiques
,,3,"calculer en utilisant le langage algébrique (lettres, symboles…) "
,,,mathématiques
,,4,"lire et comprendre des documents scientifiques rendre compte d’observations, d’hypothèses en utilisant un vocabulaire riche "
,,,"physique-chimie, SVT"
,4,"Comprendre, s'exprimer en utilisant les langages des arts et du corps",
,,1,"Choisir, mobiliser et adapter des langages et des moyens plastiques variés en fonctions de leurs effets "
,,,art
,,2,s’approprier des questions artistiques 
,,,art
,,3,analyser des œuvres musicales en utilisant un vocabulaire précis 
,,,musique
,,4,"réinvestir ses expériences personnelles de la création musicale pour écouter, comprendre et commenter celle des autres "
,,,musique
,,5,mobiliser des techniques vocales et corporelles au service d’un projet d’interprétation ou de création 
,,,musique
,,6,acquérir des techniques spécifiques pour améliorer son efficacité 
,,,sport
2,Les méthodes et outils pour apprendre,,
,1,Organisation du travail personnel,
,,1,savoir comprendre des documents vidéo  
,,,langues
,,2,s’approprier des documents en repérant des indices pour comprendre 
,,,langues
,,3,recourir à des outils numériques de captation et de réalisation à des fins de création artistique 
,,,art
,,4,"justifier une démarche, une interprétation "
,,,"histoire, géographie"
,,5,se repérer dans les étapes de réalisation d’une production et anticiper les difficultés 
,,,art
,,6,"construire et mettre en œuvre des projets d’apprentissage individuel ou collectif
-préparer – planifier – se représenter une action avant de la réaliser "
,,,sport
,,7,construire des hypothèses d’interprétation de phénomènes historiques ou géographiques 
,,,"histoire, géographie"
,,8,décomposer un problème en sous problèmes 
,,,mathématiques
,2,"Médias, démarches de recherche et de traitement de l'information",
,,1,exploiter des informations/documents pour servir un projet de création  
,,,"histoire, géographie"
,,2,vérifier des données et des sources
,,,"histoire, géographie"
,,3,"connaître différents systèmes d’information, les utiliser "
,,,"histoire, géographie"
,,4,"utiliser des moteurs de recherche, des dictionnaires/encyclopédies/sites/manuels "
,,,"histoire, géographie"
,,5,vérifier l’origine et la source d’information 
,,,"histoire, géographie"
,,6,exercer son esprit critique sur les données numériques en apprenant à les comparer à celles de documents types 
,,,"histoire, géographie"
,,7,"extraire d’un document les informations utiles, les reformuler, les organiser, les confronter à ses connaissances"
,,,mathématiques
,,8,mener collectivement une investigation (et prendre en compte le point de vue d’autrui) 
,,,mathématiques
,3,Outils numériques pour échanger et communiquer,
,,1,"utiliser des outils numériques pour observer, évaluer et modifier ses actions "
,,,sport
,,2,réaliser un diaporama 
,,,"mathématiques, français, histoire"
3,La formation de la personne et du citoyen,,
,1,"Expression de la sensibilité et des opinions, respect des autres",
,,1,prendre en compte les condition de réception de sa production dès la démarche de création 
,,,art
,,2,accepter la défaite et gagner avec modestie 
,,,sport
,,3,aider ses camarades et gérer ses efforts et faire des choix pour réaliser la meilleure performance
,,,sport
,,4,"identifier et comprendre les différents sentiments, leurs registre d’expression pour développer en les exprimant et en les régulant, ses émotions et ses sentiments permettant une capacité d’écoute "
,,,culture civique
