1,Les langages pour penser et communiquer,,
,1,"Comprendre, s'exprimer en utilisant la langue française à l'oral et à l'écrit",
,,1,écouter pour comprendre des messages oraux ou des textes lus par un·e adulte
,,, français
,,2,dire pour être entendu·e et compris·e / participer à des échanges dans des situations diverses
,,,français
,,3,Lire : identifier des mots de manière de + en + aisée
,,,français
,,4,comprendre un texte et contrôler sa compréhension
,,,"mathématiques, français, histoire"
,,5,pratiquer différentes formes de lecture 
,,,"mathématiques, français, histoire"
,,6,Lire à vois haute
,,,français
,,7,Copier 
,,,français
,,8,Ecrire des textes en commencant à s'approprier une démarche 
,,,français 
,,9,Réviser et améliorer l'écrit qu'on a produit 
,,,français
,,10,passer de l'oral à l'écrit
,,,français
,,11,"construire le lexique et s'initier à l'orthographe de celui-ci (lexique adapté, richesse de vocabulaire, mots invariables, vie courante…)"
,,,français
,,12,"Se repérer dans la phrase simple (sujet, verbe, noms…) "
,,,français
,,13,"Maitriser l'ortographe grammaticale de base (conjugaisons, marques d'accords…)"
,,,français
,,14,"S'exprimer, analyser sa pratique, celle de ses pairs "
,,,art
,2,"Comprendre, s'exprimer en utilisant une langue étrangère (et une langue régionale)",
,,1,"Ecouter et comprendre des messages oraux simples relevant de la vie quotidienne, des textes simples lus par le·a professeur·e"
,,,langues
,,2,Participer à des échanges simples pour être entendu·e et compris·e dans des situatins diversifiées de la vie quotidenne 
,,,langues
,,3,découvrir quelques aspect culturels d'une langue étrangère
,,,langues
,3,"Comprendre, s'exprimer en utilisant les langues mathématiques, scientifiques et informatiques",
,,1,Communiquer avec le vocabulaire riche et adequat à la situation 
,,,"sciences, histoire "
,,2,lire et comprendre des extes documentaires illustrés 
,,,"sciences, histoire"
,,3,extraire d'un document une information 
,,,"sciences, histoire"
,,4,utiliser les outils mathématiques pour résoudre des problèmes 
,,,mathématiques
,,5,"utiliser l'oral et l'écrit, le langage naturel et les symboles pour expliciter ses démarches, argumenter ses raisonnements"
,,,mathématiques
,4,"Comprendre, s'exprimer en utilisant les langages des arts et du corps",
,,1,"expérimenter, produire, créer"
,,,art
,,2,développer sa motricité et construire un langage du corps 
,,,sport
2,Les méthodes et outils pour apprendre,,
,1,Organisation du travail personnel,
,,1,Comprendre et s’exprimer à l’oral (français)
,,,"mathématiques, français, histoire"
,,2,comprendre le fonctionnement d'une langue
,,,français
,,3,"en s'appuyant sur un modèle : réciter, se décrire, lire, raconter "
,,,"mathématiques, français, histoire"
,,4,mener à terme une production individuelle dans le cadre d'un projet accompagné
,,,art
,,5,"respecter l'espace, les outils et les materiaux partagés "
,,,art
,,6,"s'approprier seul·e ou à plusieurs par la pratique, les méthodes et outils pour apprendre : plannifier ses actions actions, apprendre par essai-erreur "
,,,sport
,,7,choisir ou utiliser le materiel adapté pour mener des observations 
,,,sciences
,,8,réaliser une experience
,,,sciences
,,9,manipuler avec soin
,,,sciences
,,10,raisonner sur des figures pour les reproduire avec des instruments 
,,,mathématiques
,2,"Médias, démarches de recherche et de traitement de l'information",
,,1,Apprendre à s'informer 
,,,culture civique
,,2,développer des attitudes au discernement et à la reflexion critique
,,,culture civique
,3,Outils numériques pour échanger et communiquer,
,,1,"Mobiliser des outils numériques (dessiner, communiquer, recherche d'infos) "
,,,mathématiques
3,La formation de la personne et du citoyen,,
,1,"Expression de la sensibilité et des opinions, respect des autres",
,,1,Participer à des échanges simples pour être entendu·e et compris·e dans des situatins diversifiées de la vie quotidenne 
,,,langues
,,2,montrer sans réticence ses productions et regarder celle des autres 
,,,art
,,3,"formuler ses émotions, respecter celles des autres"
,,,art
,,4,accepter les différences
,,,culture civique
,,5,faire preuve d'écoute et d'empathie
,,,culture civique
,2,La règle et le droit,
,,1,"partager des règles, assumer des rôles et des responsabilités pour apprendre à vivre ensemble (différents roles : arbitre, coach, joueur·euse"
,,,sport
,,2,"respecter les règles communes, comprendre le fonctionnement démocratique "
,,,culture civique
,,3,Comprendre les principes et valeurs de la république française 
,,,culture civique
,3,Réflexion et discernement,
,,1,tenir compte des arguments d'autrui pour modifier son jugement
,,,"mathématiques, culture civique"
,,2,prendre conscience de la necessité de juger ce qu'on affirme 
,,,"mathématiques, culture civique"
,,3,Confronter ses jugements lors de débats argumentés 
,,,"culture civique, français "
,,4,"S'informer de maniere rigoureuse (rechercher, distinguer le vrai du faux, verifier) "
,,,"culture civique, sciences, histoire"
,4,"Responsabilité, sens de l’engagement et de l’initiative",
,,1,"Assumer des responsabilités dans l'école et s'impliquer dans la vie collective (projets, instances, actions)"
,,,culture civique
,,2,s'avoir s'intégrer dans une démarche collaborative (projet collectifs…) 
,,,"mathématiques, français, histoire, sciences, culture civique, art"
,,3,Savoir s'engager et tenir ses engagements 
,,,culture civique
4,Les systèmes naturels et les systèmes techniques,,
,1,Démarche scientifique,
,,1,pratiquer des démarches scientifiques
,,,sciences
,,2,s'engager dans une démarche de résolution de problème (observation/hypothèse/recherche)
,,,mathématiques
,,3,réaliser que certains problèmes relèvent de situations additives ou multiplicative…)
,,,mathématiques
,,4,"appréhender différents systèmes de représentation (arbres, schémas, calculs…)"
,,,mathématiques
,,5,calculer avec des nombres entiers mentalement ou à la main en utilisant des stratégies adaptées
,,,mathématiques
,,6,contrôler la vraissemblance des résultats
,,,mathématiques
,2,"Conception, création, réalisation",
,,1,"expérimenter, produire, créer"
,,,art
,3,Connaissances sur l’environnement,
